Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
35692,Clouvider Ltd,Frankfurt Am Main,2021-12-23T22:45:01.755346Z,304.2574739295764,22.239,121577717.36830422,24839602.16487951,,213.211.210.169
30620,"O2 Czech Republic, a.s.",Prague,2021-12-26T23:15:02.015175Z,298.4260949454471,31.552,116203536.74918419,25117687.630864955,,213.211.210.169
36011,MDCC Magdeburg-City-Com GmbH,Magdeburg,2021-12-27T01:45:02.640737Z,1.8382502132232243,16.673,123025175.80252726,25298732.42761285,,213.211.210.169
30593,SysEleven GmbH,Berlin,2021-12-27T02:15:01.819223Z,126.48082028431124,24.99,122650102.79352015,25318051.44666402,,213.211.210.169
6518,Thueringer Netkom GmbH,Weimar,2021-12-27T07:45:01.987764Z,128.63292174585706,32.2,122235466.68609564,25031676.891027298,,213.211.210.169
8198,WebseitenDesigner.com,Magdeburg,2021-12-27T08:15:02.384533Z,1.8382502132232243,32.706,119190902.3070044,24956246.07176722,,213.211.210.169
46440,GieWie,Erfurt,2021-12-27T10:45:02.677765Z,133.32934198994704,28.188,84494729.56592557,25206431.661995806,,213.211.210.169
36011,MDCC Magdeburg-City-Com GmbH,Magdeburg,2021-12-27T11:15:02.067675Z,1.8382502132232243,19.383,123462536.59742521,25084896.456794605,,213.211.210.169
9788,JM-Net z.s.,Prague,2021-12-27T13:45:02.466070Z,298.4260949454471,31.207,122751040.90565895,25266407.236672286,,213.211.210.169
9788,JM-Net z.s.,Prague,2021-12-27T14:15:01.901351Z,298.4260949454471,34.216,121698170.6266317,25369639.0710929,,213.211.210.169
8198,WebseitenDesigner.com,Magdeburg,2021-12-27T16:45:01.673463Z,1.8382502132232243,29.344,118461398.34118818,24463985.29471991,,213.211.210.169
46440,GieWie,Erfurt,2021-12-27T17:15:01.908389Z,133.32934198994704,29.182,121575395.8622783,25217176.160400376,,213.211.210.169
8908,Net-D-Sign GmbH,Garching,2021-12-27T19:45:01.813587Z,430.7594737346192,27.805,114015670.35182904,23845071.3082836,,213.211.210.169
35528,In(n) Energie GmbH,Simbach am Inn,2021-12-27T20:15:02.363620Z,439.9254006949159,31.013,120954672.83743961,25411718.54492043,,213.211.210.169
36011,MDCC Magdeburg-City-Com GmbH,Magdeburg,2021-12-27T22:45:02.396542Z,1.8382502132232243,21.047,122693407.14031483,21956645.852867395,,213.211.210.169
44668,Vereinigte Stadtwerke Media GmbH,Ratzeburg,2021-12-27T23:15:02.272938Z,184.64014409904857,32.759,122292920.9598942,25127643.716090124,,213.211.210.169
27322,AS250.net,Berlin,2021-12-28T01:45:01.770111Z,126.48082028431124,18.735,123117987.17868792,25441046.754141413,,213.211.210.169
27322,AS250.net,Berlin,2021-12-28T02:15:02.100295Z,126.48082028431124,20.171,123366843.96610183,25400125.488542054,,213.211.210.169
17392,myLoc managed IT AG,Dusseldorf,2021-12-28T07:45:02.175026Z,349.2300854245688,27.432,121392462.65185192,24831047.082959946,,213.211.210.169
17392,myLoc managed IT AG,Dusseldorf,2021-12-28T08:15:02.288484Z,349.2300854245688,27.306,121515946.51939386,24899673.017068226,,213.211.210.169
41644,KAPPENHAGEN:TECH,Essen,2021-12-28T10:45:01.957745Z,326.64384019640113,27.821,110474786.09559375,22788560.531677037,,213.211.210.169
