Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
8827,Marco Bungalski GmbH,Verden,2021-12-16T00:15:02.155406Z,185.3055616375586,31.643,122859866.03929466,24902149.685680836,,213.211.210.169
31449,NU Informationssysteme GmbH,Leipzig,2021-12-16T01:15:02.642984Z,101.71033229225168,22.092,110231320.53034683,24151605.458798215,,213.211.210.169
23610,goetel GmbH,Göttingen,2021-12-16T05:15:03.709117Z,134.81836253562253,24.7,121517558.22205848,24807673.61819812,,213.211.210.169
23610,goetel GmbH,Göttingen,2021-12-16T06:15:01.705212Z,134.81836253562253,25.286,121487610.91276352,16955754.18741223,,213.211.210.169
2495,IBH IT-Service GmbH,Dresden,2021-12-16T07:15:02.444585Z,188.79984756245702,22.048,122722365.23200804,25402752.309199896,,213.211.210.169
2495,IBH IT-Service GmbH,Dresden,2021-12-16T08:15:01.893606Z,188.79984756245702,24.698,122708458.51179679,25399015.697567433,,213.211.210.169
2495,IBH IT-Service GmbH,Dresden,2021-12-16T09:15:02.401323Z,188.79984756245702,23.128,122502241.09086227,25137734.566016182,,213.211.210.169
17137,Cronon GmbH,Berlin,2021-12-16T10:15:02.591437Z,126.48082028431124,19.042,121517683.37526302,23992413.866432745,,213.211.210.169
7528,Buchholz Digital GmbH,Buchholz in der Nordheide,2021-12-16T13:15:02.304922Z,178.45140037622028,38.37,109500818.42595737,25553386.56288576,,213.211.210.169
36011,MDCC Magdeburg-City-Com GmbH,Magdeburg,2021-12-16T14:15:02.274026Z,1.8382502132232243,19.71,120396999.56281148,24290581.946718577,,213.211.210.169
23610,goetel GmbH,Göttingen,2021-12-16T15:15:01.782076Z,134.81836253562253,24.17,113423858.54922944,25326201.051147502,,213.211.210.169
17137,Cronon GmbH,Berlin,2021-12-16T17:15:02.037544Z,126.48082028431124,18.649,119798084.13816464,24789543.556826156,,213.211.210.169
5747,PLUTEX GmbH,Bremen,2021-12-21T20:08:35.527304Z,219.35420464831637,31.44,119830586.47853777,25045849.601052556,,213.211.210.169
30593,SysEleven GmbH,Berlin,2021-12-22T14:40:31.909517Z,126.48082028431124,26.606,123188998.2850345,22928089.926286377,,213.211.210.169
