Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
15667,noris network AG,Nuremberg,2022-06-20T18:00:02.415188Z,303.6185093102115,29.405,115144057.70672244,26133174.642719254,,88.150.119.189
15667,noris network AG,Nuremberg,2022-06-20T19:30:02.226607Z,303.6185093102115,26.878,112775443.70836464,26133237.316875868,,88.150.119.189
2495,IBH IT-Service GmbH,Dresden,2022-06-20T21:00:02.446284Z,190.20022514178729,31.092,113528720.90996084,25837993.77771327,,88.150.119.189
30907,Deutsche Telekom,Berlin,2022-06-21T00:00:02.190050Z,128.29119834449776,33.857,116680816.62660119,29085741.746157948,,88.150.119.189
38099,ERZNET AG,Marienberg,2022-06-21T01:30:02.037620Z,196.4041384136356,30.116,117127509.9193643,26076355.058360804,,88.150.119.189
